Breed,Rank,Affectionate,Good_Children,Good_Dogs,Shedding,Grooming_Frequency,Drooling,Coat_Type,Coat_Length,Openness,Playfulness,Watchdog,Adaptability,Trainability,Energy,Barking,Stimulation_Needs
English Toy Spaniels,33,5,5,5,3,3,2,Double,Medium,3,4,3,4,3,3,2,3
Swedish Vallhunds,34,5,5,3,4,2,2,Double,Short,3,4,3,4,4,4,3,4
Retrievers (Curly-Coated),35,5,5,3,2,1,1,Double,Short,3,4,4,4,4,4,3,3
Harriers,36,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
English Foxhounds,37,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
Yorkshire Terriers,38,5,5,3,1,5,1,Smooth,Long,5,4,5,5,4,4,4,4
Pointers (German Shorthaired),39,5,5,4,3,2,2,Smooth,Short,4,4,4,4,5,5,3,5
Doberman Pinschers,40,5,5,3,4,1,2,Smooth,Short,4,4,5,4,5,5,3,4
Whippets,41,5,5,5,2,1,1,Smooth,Short,3,4,3,3,3,4,1,4
Greater Swiss Mountain Dogs,42,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4
Staffordshire Bull Terriers,43,5,5,3,2,2,3,Smooth,Short,4,4,5,5,5,4,3,4
Treeing Walker Coonhounds,44,5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5
Lowchen,45,5,5,3,2,2,1,Curly,Long,3,4,4,4,4,3,3,3
Miniature Schnauzers,46,5,5,3,3,4,2,Curly,Medium,3,4,4,5,5,3,5,4
Wirehaired Pointing Griffons,47,5,5,3,3,2,3,Curly,Medium,5,4,3,4,5,5,3,5
Standard Schnauzers,48,5,5,3,1,3,3,Curly,Medium,3,4,5,4,5,3,3,5
Fox Terriers (Wire),49,5,5,3,2,3,2,Curly,Medium,5,4,4,4,4,4,4,4
Norwich Terriers,50,5,5,3,3,2,1,Curly,Short,5,4,4,4,3,4,4,4
Welsh Terriers,51,5,5,3,2,3,2,Curly,Medium,5,4,4,4,4,4,4,4
Norfolk Terriers,52,5,5,3,3,2,1,Curly,Short,5,4,4,4,3,4,4,4
Portuguese Podengo Pequenos,53,5,5,5,3,2,1,Curly,Medium,3,4,3,4,3,4,3,4
Petits Bassets Griffons Vendeens,54,4,5,5,2,2,2,Smooth,Long,4,4,4,4,3,4,5,4
Bearded Collies,55,4,5,5,3,4,1,Smooth,Long,4,4,3,4,3,4,5,3
Boxers,56,4,5,3,2,2,3,Smooth,Short,4,4,4,3,4,4,3,4
Collies,57,4,5,3,3,3,2,Smooth,Short,3,4,3,4,4,3,5,3
Border Terriers,58,4,5,3,2,2,1,Curly,Short,4,4,3,4,4,3,3,3
Australian Shepherds,59,3,5,3,3,2,1,Double,Medium,3,4,3,3,5,5,3,5
Spaniels (Boykin),60,3,5,5,3,3,1,Double,Medium,3,4,3,4,4,4,3,3
Beagles,61,3,5,5,3,2,1,Smooth,Short,3,4,2,4,3,4,4,4
Australian Terriers,62,3,5,3,1,2,1,Curly,Short,3,4,4,3,4,4,5,4
Spanish Water Dogs,63,5,4,3,1,4,2,Other,Medium,3,4,3,3,4,4,3,5
Setters (English),64,5,4,4,3,3,3,Double,Medium,4,4,3,4,4,3,3,4
Manchester Terriers,65,5,4,3,2,2,1,Smooth,Short,3,4,4,4,4,4,4,3
Cardigan Welsh Corgis,66,4,4,3,3,2,1,Double,Medium,4,4,3,3,4,4,5,4
Brittanys,67,3,4,4,3,3,1,Double,Short,3,4,3,3,5,5,3,4
Pumik,68,5,3,3,1,2,2,Curly,Medium,3,4,4,4,5,5,3,5
Pembroke Welsh Corgis,69,5,3,4,4,2,1,Double,Short,4,4,5,4,4,4,4,4
Spaniels (English Springer),70,5,3,4,3,2,3,Double,Medium,4,4,3,4,5,4,3,4
Lagotti Romagnoli,71,5,3,5,1,2,2,Double,Medium,4,4,3,4,4,4,2,4
Norwegian Elkhounds,72,5,3,3,3,2,2,Double,Medium,4,4,5,4,4,4,4,4
Pekingese,73,5,3,3,3,3,1,Double,Long,3,4,4,4,3,3,1,3
Schipperkes,74,5,3,3,3,2,1,Double,Short,3,4,5,4,4,3,4,3
Spaniels (Sussex),75,5,3,3,3,3,3,Double,Medium,3,4,3,4,4,3,3,3
Polish Lowland Sheepdogs,76,5,3,3,2,4,2,Double,Long,3,4,5,5,4,3,4,4
Xoloitzcuintli,77,5,3,3,1,1,1,Other,Short,3,4,3,4,4,4,3,4
Silky Terriers,78,5,3,3,2,3,1,Smooth,Long,4,4,5,4,4,3,4,3
Rottweilers,79,5,3,3,3,1,3,Smooth,Short,3,4,5,4,5,3,1,5
Dachshunds,80,5,3,4,2,2,2,Smooth,Short,4,4,4,4,4,3,5,3
Great Danes,81,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4
Dalmatians,82,5,3,3,4,2,2,Smooth,Short,4,4,4,4,4,4,3,4
Italian Greyhounds,83,5,3,5,3,1,1,Smooth,Short,5,4,3,4,4,3,3,3
Miniature Pinschers,84,5,3,4,3,1,1,Smooth,Short,3,4,5,4,3,5,5,5
Dogo Argentinos,85,5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4
Miniature Bull Terriers,86,5,3,3,2,1,2,Smooth,Short,3,4,4,4,3,4,5,4
Toy Fox Terriers,87,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4
Parson Russell Terriers,88,5,3,5,2,2,1,Smooth,Short,3,4,3,4,4,5,3,4
Pointers,89,5,3,5,3,2,2,Smooth,Short,4,4,3,4,5,4,3,4
Fox Terriers (Smooth),90,5,3,3,3,2,1,Smooth,Short,3,4,5,4,3,4,5,3
German Pinschers,91,5,3,3,3,1,1,Smooth,Short,3,4,4,3,5,5,3,4
Scottish Terriers,92,5,3,2,2,3,2,Curly,Medium,3,4,5,4,3,3,4,4
Pointers (German Wirehaired),93,5,3,3,2,2,2,Curly,Medium,4,4,3,4,5,5,3,4
Giant Schnauzers,94,5,3,3,3,4,2,Curly,Medium,3,4,5,4,5,5,3,4
Lakeland Terriers,95,5,3,3,2,2,1,Curly,Short,3,4,3,4,3,3,3,4
Ibizan Hounds,96,5,3,5,2,1,1,Curly,Short,3,4,3,4,3,5,3,5
Grand Basset Griffon Vendeens,97,5,3,4,3,2,2,Curly,Medium,5,4,3,4,3,5,4,4
Bulldogs,98,4,3,3,3,3,3,Smooth,Short,4,4,3,3,4,3,2,3
Bull Terriers,99,4,3,1,3,2,1,Smooth,Short,4,4,3,3,3,4,3,4
Cirnechi dell Etna,100,4,3,4,1,1,1,Smooth,Short,3,4,3,4,4,3,2,3
Cairn Terriers,101,4,3,3,2,2,1,Curly,Medium,3,4,4,3,3,3,4,3
Brussels Griffons,102,4,3,3,3,3,1,Curly,Short,4,4,3,4,4,3,4,3
Chihuahuas,103,4,1,3,2,1,1,Smooth,Short,2,4,4,4,3,4,5,3
Shih Tzu,104,5,5,5,1,4,1,Double,Long,3,3,3,5,4,3,3,3
Mastiffs,105,5,5,3,3,1,4,Double,Short,3,3,5,4,3,3,1,3
Newfoundlands,106,5,5,5,3,2,5,Double,Medium,5,3,5,4,3,3,1,3
Spaniels (English Cocker),107,5,5,5,3,3,2,Double,Medium,4,3,3,4,4,3,3,4
Leonbergers,108,5,5,3,4,4,3,Double,Long,5,3,4,4,5,3,3,4
American Eskimo Dogs,109,5,5,3,3,3,1,Double,Medium,5,3,3,4,4,4,3,3
Spaniels (Welsh Springer),110,5,5,4,3,2,2,Double,Medium,1,3,3,4,5,4,3,4
Icelandic Sheepdogs,111,5,5,4,3,2,2,Double,Medium,3,3,4,4,5,4,4,5
Setters (Irish Red and White),112,5,5,5,2,2,2,Double,Medium,5,3,3,5,5,5,3,3
Finnish Spitz,113,5,5,4,3,2,2,Double,Medium,3,3,3,4,3,5,5,4
American Hairless Terriers,114,5,5,3,1,1,1,Other,Short,3,3,3,5,5,3,3,3
Rhodesian Ridgebacks,115,5,5,3,3,2,2,Smooth,Short,3,3,5,4,4,3,2,4
St. Bernards,116,5,5,3,3,2,5,Smooth,Short,3,3,5,4,3,3,1,3
Redbone Coonhounds,117,5,5,5,3,2,3,Smooth,Short,3,3,3,4,3,3,4,4
Spaniels (Field),118,5,5,4,3,2,2,Smooth,Medium,4,3,3,4,5,3,3,3
Cavalier King Charles Spaniels,119,5,5,5,2,2,2,Curly,Medium,4,3,3,3,4,3,3,3
Soft Coated Wheaten Terriers,120,5,5,3,1,4,2,Curly,Medium,3,3,3,3,3,4,3,3
Irish Terriers,121,5,5,1,2,1,1,Curly,Medium,3,3,5,4,3,3,3,4
Barbets,122,4,5,5,1,3,1,Curly,Medium,3,3,3,3,4,3,3,3
Spaniels (Cocker),123,4,5,5,3,4,2,Double,Long,4,3,3,4,4,4,3,3
Black and Tan Coonhounds,124,4,5,5,3,2,3,Smooth,Short,3,3,2,4,3,3,4,3
Chinooks,125,4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3
Cesky Terriers,126,4,5,3,2,2,1,Curly,Medium,4,3,3,4,3,3,3,3
Basset Hounds,127,3,5,5,2,3,4,Smooth,Short,3,3,3,3,3,2,4,3
American Foxhounds,128,3,5,5,3,1,1,Smooth,Short,3,3,3,3,3,4,5,3
Finnish Lapphunds,129,5,4,3,4,2,2,Double,Medium,4,3,3,4,4,3,5,3
Boerboels,130,5,4,2,3,2,3,Smooth,Short,3,3,5,3,4,3,3,4
Kerry Blue Terriers,131,5,4,2,1,3,2,Curly,Medium,3,3,5,3,3,4,4,4
Pulik,132,5,3,3,1,5,2,Other,Long,3,3,5,4,5,3,3,5
Komondorok,133,5,3,2,1,4,2,Other,Long,3,3,5,3,4,3,3,3
Pomeranians,134,5,3,3,2,3,1,Double,Long,3,3,4,4,3,3,4,3
Shiba Inu,135,5,3,3,3,2,1,Double,Short,3,3,5,3,2,3,3,4
Great Pyrenees,136,5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3
Tibetan Terriers,137,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4
Setters (Gordon),138,5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4
Nederlandse Kooikerhondjes,139,5,3,3,3,2,2,Double,Medium,4,3,3,4,5,4,3,4
Norwegian Buhunds,140,5,3,3,3,2,1,Double,Medium,3,3,4,4,3,4,4,4
Kuvaszok,141,5,3,3,3,2,2,Double,Medium,3,3,5,4,5,3,3,3
Skye Terriers,142,5,3,3,3,3,1,Double,Long,3,3,3,3,3,3,3,3
Otterhounds,143,5,3,3,2,2,3,Smooth,Medium,4,3,3,4,4,3,5,3
Maltese,144,5,3,3,1,4,1,Smooth,Long,3,3,4,4,3,3,3,3
Lhasa Apsos,145,5,3,3,1,3,1,Smooth,Long,3,3,5,5,3,3,3,3
Japanese Chin,146,5,3,5,3,2,1,Smooth,Medium,3,3,3,4,3,3,2,3
Dogues de Bordeaux,147,5,3,3,4,1,5,Smooth,Short,3,3,5,4,4,3,3,4
American Staffordshire Terriers,148,5,3,3,2,1,1,Smooth,Short,4,3,5,3,3,3,3,3
Salukis,149,5,3,3,2,1,1,Smooth,Short,3,3,1,3,3,4,3,5
Entlebucher Mountain Dogs,150,5,3,5,3,1,2,Smooth,Short,3,3,5,4,3,5,3,4
Pharaoh Hounds,151,5,3,5,3,2,1,Smooth,Short,3,3,3,3,4,4,3,4
Irish Wolfhounds,152,5,3,4,3,2,2,Curly,Medium,3,3,5,3,3,3,1,3
Spinoni Italiani,153,5,3,4,3,2,3,Curly,Medium,3,3,3,3,4,3,2,3
Sealyham Terriers,154,5,3,3,3,3,1,Curly,Medium,4,3,5,4,4,3,4,4
Scottish Deerhounds,155,5,3,5,3,1,1,Curly,Medium,3,3,3,3,3,3,1,3
Glen of Imaal Terriers,156,5,3,3,2,3,2,Curly,Medium,3,3,3,4,3,3,2,3
Tibetan Mastiffs,157,4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4
Dandie Dinmont Terriers,158,4,3,3,2,3,1,Double,Medium,4,3,4,3,4,3,3,3
Chinese Crested,159,4,3,3,1,2,1,Other,Short,4,3,3,4,4,3,3,3
Cane Corso,160,4,3,3,2,1,3,Smooth,Short,3,3,5,3,4,4,3,3
Bloodhounds,161,4,3,3,3,2,5,Smooth,Short,3,3,2,3,4,3,5,3
Bullmastiffs,162,4,3,3,3,1,3,Smooth,Short,3,3,5,3,4,4,1,4
Chinese Shar-Pei,163,4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3
Chow Chows,164,4,3,2,3,3,3,Smooth,Medium,2,3,5,3,3,3,1,3
Greyhounds,165,4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3
Sloughis,166,4,3,3,3,1,1,Smooth,Short,2,3,2,3,3,4,2,3
Spaniels (Clumber),167,4,3,3,3,2,4,Curly,Medium,4,3,3,4,4,3,1,3
Retrievers (Chesapeake Bay),168,4,3,3,3,3,2,Curly,Medium,3,3,4,4,5,4,3,4
Bergamasco Sheepdogs,169,3,3,3,1,1,2,Other,Long,3,3,4,3,3,3,1,3
Borzois,170,3,3,3,3,2,1,Curly,Medium,3,3,3,3,2,4,2,4
Bedlington Terriers,171,3,3,3,1,3,1,Curly,Medium,3,3,4,3,3,4,3,3
Akitas,172,3,3,1,3,3,1,Double,Medium,2,3,5,3,3,4,2,3
Alaskan Malamutes,173,3,3,3,3,3,1,Double,Medium,3,3,4,3,5,4,3,3
Belgian Tervuren,174,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4
Belgian Sheepdogs,175,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4
Black Russian Terriers,176,3,3,3,3,4,3,Double,Medium,2,3,5,4,4,4,3,4
Briards,177,3,3,3,1,4,2,Double,Long,3,3,4,3,3,3,1,3
Spaniels (American Water),178,3,3,3,1,3,1,Double,Medium,3,3,3,3,5,3,3,3
Norwegian Lundehunds,179,3,3,3,3,2,1,Double,Short,3,3,3,3,3,3,3,3
Bouviers des Flandres,180,3,3,3,3,4,2,Smooth,Medium,3,3,4,3,4,4,3,3
Afghan Hounds,181,3,3,3,1,4,1,Smooth,Long,3,3,3,3,1,4,3,3
Belgian Malinois,182,3,3,3,3,2,1,Smooth,Short,3,3,4,3,5,4,3,4
Australian Cattle Dogs,183,3,3,3,3,1,1,Smooth,Short,3,3,4,3,4,5,1,4
Basenjis,184,3,3,3,2,1,1,Smooth,Short,3,3,3,3,2,4,1,4
Beaucerons,185,3,3,3,4,3,1,Smooth,Short,2,3,4,3,3,5,3,3
Bluetick Coonhounds,186,3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3
Canaan Dogs,187,3,3,3,4,2,1,Smooth,Short,3,3,4,3,4,3,5,3
American English Coonhounds,188,3,3,5,2,1,1,Smooth,Short,3,3,3,3,3,4,4,3
Azawakhs,189,3,3,3,2,2,1,Smooth,Short,1,3,3,3,2,3,1,3
Airedale Terriers,190,3,3,3,1,3,1,Curly,Short,3,3,5,3,3,3,3,3
Berger Picards,191,3,3,3,3,1,1,Curly,Medium,3,3,4,3,4,4,2,4
Affenpinschers,192,3,3,3,3,3,1,Curly,Short,5,3,3,4,3,3,3,3
Anatolian Shepherd Dogs,193,1,3,3,3,2,1,Smooth,Short,1,3,5,3,2,3,3,3
Neapolitan Mastiffs,194,3,3,3,3,2,5,Smooth,Short,3,2,5,3,3,2,1,3
Plott Hounds,195,0,0,0,0,0,0,Other,Short,0,0,0,0,0,0,0,0
